question,answer
"Устройство не включается, что делать?","Проверьте питание: используйте оригинальный адаптер и кабель, проверьте индикатор и предохранитель. Попробуйте включить устройство без карты памяти. Если включается — замените карту. Проверьте карту на ошибки: https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y (видео: https://vkvideo.ru/video-174258496_456239177). Если устройство хотя бы кратковременно реагирует, попробуйте обновить прошивку с SD-карты: https://update.fujida.su/services/. Если ничего не помогает — обратитесь в сервис."
"Регистратор перезагружается, что можно сделать?","Убедитесь, что используется оригинальный адаптер питания. Проверьте, не вызывает ли сбои просадка напряжения при запуске двигателя. Извлеките карту памяти и попробуйте включить устройство — если перезагрузки прекратились, проверьте карту на https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y (видео: https://vkvideo.ru/video-174258496_456239177). Замените карту, если скорость записи ниже 10 МБ/с. Также обновите прошивку с сайта: https://update.fujida.su/services/. При необходимости выполните сброс настроек или обратитесь в сервис."
Как обновить устройство через карту памяти?,"Перейдите на https://update.fujida.su/services/, выберите модель и скачайте актуальную прошивку. Извлеките файлы из архива. Форматируйте карту памяти: до 32 ГБ — FAT32 с кластером 32 КБ на ПК; 64 ГБ и более — через меню устройства. Скопируйте файлы в корень карты. Вставьте карту в выключенное устройство и подключите питание оригинальным кабелем. Обновление запустится автоматически. После завершения проверьте версию прошивки. Видеоинструкция: https://vk.com/video/@fujida_rus?z=video-174258496_456239174%2Fclub174258496"
Не говорит о камерах / Почему не предупреждает о приближении к камерам?,"Убедитесь, что используете оригинальный шнур питания — недостаток питания может нарушать работу GPS. Проверьте карту памяти: https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y (видео: https://vk.com/video/@fujida_rus?z=video-174258496_456239177). В некоторых регионах может быть подавление GPS (РЭБ), попробуйте выехать за город. Также убедитесь, что прошивка и база камер актуальны. Проверить это можно в меню устройства. Если проблема сохраняется — обратитесь в поддержку, указав модель и версию прошивки."
Как предложить исправления/добавления в базу камер?,"Отправьте в службу поддержки фото камеры, GPS-координаты (например, 56.16419/48.28773) и/или копию постановления со штрафом. Уточните, что нужно исправить: неверный тип камеры, направление, ложное предупреждение и т.п."
Не подключается по Wi-Fi к приложению (iOS) / Не могу обновить по Wi-Fi.,"Убедитесь, что используете приложение Fujida.Pro из App Store. Проверьте, выбран ли тип вашей модели в приложении. В настройках iPhone дайте приложению доступ к 'Локальной сети' (Настройки → Конфиденциальность → Локальная сеть → Fujida.Pro). Отключите VPN. Перезагрузите оба устройства и повторно подключитесь к Wi-Fi видеорегистратора. Также проверьте исправность карты памяти."
Как обновить / скачать видео по Wi-Fi (Android)?,"Используйте приложение Fujida.Pro для Android. Если его нет в Google Play — скачайте APK-файл от службы поддержки. Установите его на смартфон (разрешив установку из неизвестных источников). Подключитесь к Wi-Fi сети устройства Fujida, затем откройте приложение и выберите свою модель устройства."
"Проблемы с подключением/обновлением по Wi-Fi на iOS (Fujida Zoom Smart S и другие модели). Не видит файлы, предлагает обновить актуальную базу.","Убедитесь, что карта памяти исправна (тест: https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y, видео: https://vk.com/video/@fujida_rus?z=video-174258496_456239177). Используйте приложение Fujida.Pro из App Store. Проверьте доступ к 'Локальной сети' в настройках iPhone (Настройки → Fujida.Pro → Локальная сеть). Убедитесь, что выбрана нужная модель. Поведение, когда приложение предлагает обновить актуальную базу — нормальное. Видеоинструкция по обновлению: https://vk.com/video/@fujida_rus?z=video-174258496_456239175. Также отключите VPN, перезагрузите устройства и переподключитесь к Wi-Fi вручную."
"Проблемы с обновлением прошивки/базы камер с ПК (версия базы отображается как 00000000, обновление не запускается).","Убедитесь, что используете оригинальный кабель питания. Скачайте прошивку для своей модели с https://update.fujida.su/services/. Извлеките .bin-файлы из архива. Форматируйте карту: до 32 ГБ — FAT32 с кластером 32 КБ на ПК, 64 ГБ+ — только в меню видеорегистратора. Скопируйте файлы в корень карты, вставьте её в выключенное устройство, подключите питание. Дождитесь завершения обновления. После перезагрузки проверьте версию прошивки. Видеоинструкция: https://youtu.be/5uJtrqqct6c"
Не отображается скорость и нет предупреждений о камерах (проблемы с подключением к спутникам GPS).,"Если устройство не показывает скорость и не предупреждает о камерах, скорее всего, отсутствует соединение с GPS. Убедитесь, что используется оригинальный кабель питания и исправная карта памяти. При наличии атермального остекления или подогрева лобового стекла, разместите устройство в ""технической зоне"" — области без напыления, обычно возле зеркала. В стратегически важных регионах могут действовать системы РЭБ, подавляющие сигнал. Для проверки работы модуля выезжайте за город — если появится скорость или иконка спутника станет активной, модуль работает корректно."
Как проверить карту памяти / Проблемы с программой проверки карты памяти (HD_Speed),"Для проверки карты памяти на скорость и работоспособность:\n\n1. Скачайте программу HD_Speed: https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y (выбирайте версию под вашу ОС, например, x64).\n2. Запустите программу.\n3. В поле 'Накопитель' выберите диск карты памяти.\n4. Выберите режим 'Запись' (Write).\n5. Нажмите 'Старт'.\n\nИнтерпретация:\n- График должен быть ровным, без сильных провалов.\n- Скорость записи должна быть не ниже 10 МБ/с (уточняйте для вашей модели).\n\nВидеоинструкция: https://vk.com/video/@fujida_rus?z=video-174258496_456239177\n\nЕсли карта в порядке, но проблемы остаются — обновите прошивку и базу камер: https://update.fujida.su/services/."
"Видеорегистратор самопроизвольно перезагружается (например, Fujida Zoom Hit Max)","Если видеорегистратор перезагружается самопроизвольно:\n\n1. **Проверьте питание**: используйте только оригинальный шнур из комплекта, подключённый к прикуривателю.\n\n2. **Проверьте карту памяти**:\n- Запустите устройство без карты. Если перезагрузки прекратятся — проблема в карте.\n- Проверьте карту программой HD_Speed: https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y\n- Видеоинструкция: https://vk.com/video/@fujida_rus?z=video-174258496_456239177\n- Если тест показывает низкую скорость или ошибки — замените карту.\n\n3. **Проверьте устройство в другом автомобиле**: возможно, причина — в системе питания или прикуривателе вашего авто.\n\n4. **Установите задержку включения** (10–30 секунд) — помогает при просадке напряжения при запуске двигателя.\n\n5. **Обратитесь в сервисный центр**, если вышеуказанные шаги не помогли и устройство на гарантии:\n- Заполните бланк неисправности: https://fujida.su/catalog/blank_neispravnost.doc\n- Подготовьте копию чека (можно из личного кабинета маркетплейса).\n- Уточните серийный номер (12 цифр, на корпусе).\n- Свяжитесь со службой поддержки Fujida (8-800-500-31-16) для отправки через СДЭК — доставка в сервис при гарантии бесплатна."
"Ошибка записи на карте памяти / Проблемы с форматированием (например, на Fujida Okko)","Если появляется ошибка записи или проблемы с картой памяти (даже фирменной), выполните следующее:\n\n1. **Форматирование через видеорегистратор (актуально для моделей вроде Fujida Okko)**:\n- Отформатируйте карту через меню регистратора.\n- Снимите устройство с магнитного крепления (или отключите питание) для выключения.\n- Снова подключите питание или верните на крепление — устройство включится.\n- Если ошибка осталась — повторите процедуру 1–3 ещё раз.\n\n2. **Общие рекомендации**:\n- Убедитесь, что карта соответствует требованиям (подходящий класс скорости и объём).\n- Проверьте карту на ПК с помощью HD_Speed: https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y\n\n3. **Если проблема связана с Wi-Fi подключением (для Fujida Okko на iPhone)**:\n- Используйте приложение Fujida.Pro.\n- Убедитесь, что выбрана верная модель устройства.\n- Дайте приложению доступ к 'Локальной сети' (Настройки → Fujida.Pro → Локальная сеть)."
"Нечитаемые символы в названии сети вместо fujida, не подключается по Wi-Fi, пишет неверный пароль","Решение — обновление устройства через карту памяти и ПК:\n\n1. Перейдите на сайт: https://update.fujida.su/services/\n2. Выберите модель устройства и скачайте актуальную прошивку.\n3. Извлеките файлы из архива (обычно .bin или несколько файлов).\n4. Отформатируйте карту памяти:\n   - На устройстве, если есть такая функция;\n   - Если карта >32 ГБ — используйте ПК, формат FAT32, кластер 32КБ.\n5. Скопируйте прошивку в корень карты памяти.\n6. Вставьте карту в выключенное устройство.\n7. Подключите питание оригинальным кабелем — начнётся обновление.\n8. Дождитесь завершения (на экране будет прогресс).\n9. После завершения устройство перезагрузится, файлы могут удалиться автоматически."
"Модель Zoom Okko, на экране отображаются знаки ограничения скорости","Переустановите прошивку через карту памяти и компьютер:\n\n1. Перейдите на страницу модели: https://fujida.su/catalog/videoregistratory/fujida-zoom-okko/\n2. Откройте вкладку 'Характеристики' и найдите строку 'Актуальная прошивка'. Нажмите 'Скачать'.\n3. Отформатируйте карту памяти через меню видеорегистратора.\n4. Из архива с прошивкой перенесите файл в корень карты памяти microSD.\n5. Вставьте карту в выключенное устройство (питание не подключено).\n6. Подключите питание оригинальным кабелем — начнётся обновление. На экране будет мигать синий индикатор.\n7. После завершения устройство перезагрузится автоматически. Файлы прошивки удалятся с карты.\n8. Проверьте версию прошивки в меню настроек, чтобы убедиться, что обновление прошло успешно."
"Также наблюдаются 5-секундные видеозаписи, что это и как убрать?","Скорее всего, включена функция датчика движения — при её активации запись может идти короткими фрагментами.\n\n1. **Отключите датчик движения** в меню видеорегистратора. Он предназначен в основном для режима парковки.\n2. **Проверьте карту памяти** — возможно, она неисправна или слишком низкого качества:\n- Скачайте программу HD_Speed: https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y\n- Проведите тест и сделайте фото графика.\n- Отправьте результат в службу поддержки для анализа.\n\nЕсли после отключения датчика и проверки карты проблема сохраняется — замените карту памяти на оригинальную и соответствующую требованиям устройства."
Какой видеоплеер вы рекомендуете для просмотра записей с видеорегистратора с привязкой к GPS?,"Для наших устройств нет отдельного фирменного плеера с отображением GPS-трека на компьютере. Координаты могут отображаться прямо в видео при воспроизведении.\n\nЕсли вам нужен GPS-трек, используйте мобильное приложение **Fujida.Pro**:\n- Для Android — в Play Market.\n- Для iOS — в App Store.\n\nВ приложении можно просматривать записи с привязкой к маршруту, а также управлять настройками устройства."
